x	y	z	value	use	f_bg	f_signal_count	f_peak_signal	f_x	f_y	f_z	f_sigma_lateral	f_sigma_axial	f_status	f_error	f_corr
1637.000000	1468.000000	12.000000	45745.312500	1.000000	3908.003418	13150356.000000	306990.906250	1637.020386	1468.850708	12.262261	2.116897	0.606936	27.000000	-138722512.000000	0.423171
246.000000	1201.000000	13.000000	45029.304688	1.000000	2002.973145	9474119.000000	390280.093750	246.391022	1201.085938	12.824645	1.691537	0.538678	27.000000	-99736704.000000	0.680615
77.000000	435.000000	13.000000	44823.304688	1.000000	4010.244385	9548085.000000	398635.250000	76.649406	434.931122	12.832258	1.623652	0.576879	27.000000	-99220672.000000	0.752972
1003.000000	44.000000	12.000000	43349.125000	1.000000	6326.577637	14343490.000000	328756.718750	1002.297607	44.043972	12.483412	2.132977	0.608889	27.000000	-151452928.000000	0.318539
2000.000000	880.000000	12.000000	41415.414062	1.000000	1462.274292	7903253.000000	390517.375000	1999.552124	879.867004	11.991676	1.498553	0.572205	27.000000	-82410544.000000	0.803740
1781.000000	407.000000	12.000000	38814.175781	1.000000	4898.385742	11351328.000000	272293.625000	1780.942871	406.141754	12.315825	2.060298	0.623562	27.000000	-117639680.000000	0.501086
1174.000000	1232.000000	13.000000	38636.441406	1.000000	437.638519	9111114.000000	329617.375000	1173.900635	1231.568237	12.604274	1.699810	0.607422	27.000000	-95235792.000000	0.618403
543.000000	1651.000000	13.000000	38251.804688	1.000000	1210.351929	7491591.500000	402867.906250	543.054626	1651.128418	12.683362	1.471617	0.545195	27.000000	-78063560.000000	0.804429
1185.000000	376.000000	13.000000	36731.367188	1.000000	301.253998	9854328.000000	300244.812500	1185.487549	375.708435	12.487349	1.830600	0.621863	27.000000	-102934192.000000	0.543629
1273.000000	1646.000000	17.000000	36102.203125	1.000000	22727.636719	15740700.000000	176706.546875	1273.375000	1646.602783	16.876223	2.610066	0.830230	27.000000	-161642592.000000	0.493710
129.000000	1007.000000	13.000000	36043.628906	1.000000	0.000000	5922324.000000	182945.265625	129.000000	1007.000000	13.000000	1.509405	0.902173	27.000000	-60063580.000000	0.828626
1268.000000	1648.000000	17.000000	35991.875000	1.000000	13397.829102	15107384.000000	201989.125000	1269.191528	1647.975098	16.802771	2.236168	0.949692	27.000000	-155352144.000000	0.531157
1275.000000	1650.000000	17.000000	35933.910156	1.000000	11425.956055	14569174.000000	232079.734375	1274.238647	1649.981689	16.541876	2.256628	0.782723	27.000000	-150697680.000000	0.444698
331.000000	982.000000	13.000000	35216.902344	1.000000	1945.166504	6303170.000000	384240.406250	330.624695	981.771973	12.946974	1.429819	0.509476	27.000000	-64923112.000000	0.810479
1289.000000	964.000000	12.000000	35001.750000	1.000000	1641.301636	8457536.000000	318978.968750	1288.910156	964.248352	12.410266	1.700492	0.582187	27.000000	-87334952.000000	0.660205
1236.000000	1612.000000	14.000000	34928.992188	1.000000	1072.687256	6728623.500000	439589.125000	1235.829590	1612.486084	14.371826	1.335228	0.545128	27.000000	-70280024.000000	0.824131
252.000000	327.000000	13.000000	34587.558594	1.000000	2476.785889	6246657.000000	391153.031250	251.915512	326.996643	12.813097	1.373092	0.537814	27.000000	-63709676.000000	0.833594
449.000000	1130.000000	13.000000	34548.781250	1.000000	949.151367	5849712.000000	396172.156250	449.396057	1130.485962	12.906400	1.378362	0.493462	27.000000	-60917064.000000	0.790660
1487.000000	1394.000000	26.000000	34510.902344	1.000000	1035.703613	8250321.500000	297358.562500	1487.287720	1394.279907	25.771856	1.337832	0.984278	27.000000	-84073224.000000	0.893208
852.000000	3.000000	13.000000	34486.566406	1.000000	0.000000	5789392.500000	178838.906250	852.000000	3.000000	13.000000	1.509405	0.902173	27.000000	-58616096.000000	0.722933
1498.000000	1234.000000	12.000000	32982.644531	1.000000	580.393005	6256148.500000	426098.437500	1498.433716	1233.817993	12.391291	1.350789	0.510919	27.000000	-65319308.000000	0.817635
1176.000000	717.000000	12.000000	32876.968750	1.000000	1758.535522	6529563.000000	398655.562500	1175.680542	716.660950	12.350579	1.410049	0.523056	27.000000	-67210216.000000	0.816369
1876.000000	1126.000000	12.000000	32582.781250	1.000000	826.490601	6285266.500000	397501.968750	1875.542480	1126.415771	12.342913	1.368597	0.535998	27.000000	-65279644.000000	0.796791
347.000000	659.000000	13.000000	32336.171875	1.000000	1462.177490	5473373.000000	408797.593750	347.494812	658.956787	12.812554	1.324489	0.484596	27.000000	-56356276.000000	0.813704
641.000000	1463.000000	14.000000	32272.000000	1.000000	6232.332031	12271609.000000	185657.796875	639.989258	1463.156372	13.688761	2.132648	0.922742	27.000000	-124540384.000000	0.489816
898.000000	1871.000000	12.000000	31770.960938	1.000000	1790.572388	6233763.500000	432717.312500	898.339294	1871.071899	12.408005	1.322360	0.523090	27.000000	-64221808.000000	0.826833
1883.000000	1843.000000	23.000000	31714.650391	1.000000	17752.541016	14629184.000000	168895.656250	1883.926392	1842.826416	22.923290	2.311289	1.029493	27.000000	-148735584.000000	0.524676
1721.000000	1751.000000	13.000000	30989.730469	1.000000	1164.334595	6760651.500000	235314.156250	1720.705444	1751.291138	12.847121	1.607079	0.706311	27.000000	-67780672.000000	0.833077
673.000000	1151.000000	13.000000	30911.775391	1.000000	1006.327271	5193727.500000	406281.125000	673.294800	1150.543457	12.768303	1.321244	0.464961	27.000000	-53754396.000000	0.803836
155.000000	1042.000000	13.000000	30617.349609	1.000000	1474.407471	5072225.500000	396826.218750	155.196304	1041.727173	12.808174	1.307507	0.474723	27.000000	-52064288.000000	0.824719
877.000000	1932.000000	12.000000	30028.453125	1.000000	1031.455566	5857066.000000	461790.875000	877.344421	1931.986816	12.479340	1.273340	0.496679	27.000000	-60861700.000000	0.780525
1435.000000	1077.000000	12.000000	30005.035156	1.000000	597.879639	5509100.000000	391075.218750	1434.860962	1077.272339	12.381427	1.299278	0.529842	27.000000	-56951632.000000	0.846579
1031.000000	1905.000000	15.000000	29046.613281	1.000000	1229.852417	5089797.000000	352542.875000	1030.703247	1904.837158	15.210151	1.263422	0.574277	27.000000	-51717076.000000	0.877235
22.000000	1006.000000	13.000000	28953.777344	1.000000	1375.872314	4785154.000000	337106.343750	22.343313	1005.951111	12.965391	1.358281	0.488517	27.000000	-48579980.000000	0.806388
467.000000	1579.000000	13.000000	28781.708984	1.000000	1252.832886	4810663.000000	383252.125000	466.724976	1578.695435	12.786284	1.279264	0.487002	27.000000	-49168508.000000	0.840431
1447.000000	1750.000000	12.000000	28771.931641	1.000000	562.492126	5260458.000000	353053.125000	1446.912964	1750.330811	12.332552	1.324741	0.539078	27.000000	-53975128.000000	0.855745
113.000000	663.000000	13.000000	28444.970703	1.000000	2224.205322	4901941.500000	386844.031250	112.537956	662.749512	12.865113	1.262490	0.504785	27.000000	-49520784.000000	0.802096
1864.000000	1940.000000	12.000000	28188.628906	1.000000	1027.438477	4771533.500000	317857.375000	1864.385986	1939.822388	12.044926	1.320751	0.546404	27.000000	-48308552.000000	0.856003
1899.000000	1818.000000	18.000000	27958.828125	1.000000	151.572083	4810843.000000	290536.406250	1899.252808	1818.176758	18.010853	1.317740	0.605469	27.000000	-48862628.000000	0.874159
682.000000	1168.000000	13.000000	27813.335938	1.000000	1052.597412	5321900.500000	345955.968750	682.190552	1168.342773	12.633870	1.460357	0.457992	27.000000	-54186592.000000	0.810416
1378.000000	1411.000000	19.000000	27777.833984	1.000000	1372.631592	5031614.000000	386384.250000	1378.102173	1410.620361	19.295584	1.164158	0.610091	27.000000	-51264700.000000	0.866018
632.000000	885.000000	13.000000	27763.746094	1.000000	0.000000	4542142.000000	140310.359375	632.000000	885.000000	13.000000	1.509405	0.902173	27.000000	-44995056.000000	0.848781
1777.000000	340.000000	12.000000	27737.275391	1.000000	1620.928223	5088199.000000	439308.312500	1777.172729	339.933197	12.409546	1.221587	0.492806	27.000000	-51876464.000000	0.843875
89.000000	1422.000000	13.000000	27545.394531	1.000000	1295.514648	4981387.000000	286188.625000	89.193680	1422.386475	12.872538	1.467928	0.512883	27.000000	-50123212.000000	0.808662
