x	y	z	value	use	f_bg	f_signal_count	f_peak_signal	f_x	f_y	f_z	f_sigma_lateral	f_sigma_axial	f_status	f_error	f_corr
245.000000	1276.000000	10.000000	51034.843750	1.000000	3846.004150	11041039.000000	441493.250000	245.296616	1276.111084	9.926767	1.655411	0.579435	27.000000	-116660208.000000	0.663183
1636.000000	1543.000000	9.000000	49744.898438	1.000000	4460.159668	14988878.000000	358842.250000	1636.487061	1543.436279	9.378500	2.089781	0.607287	27.000000	-159965200.000000	0.358998
76.000000	510.000000	10.000000	49676.398438	1.000000	5097.414551	10796696.000000	459918.750000	75.508400	509.907623	9.956249	1.570091	0.604631	27.000000	-113056008.000000	0.725041
1389.000000	667.000000	11.000000	49486.253906	1.000000	22375.662109	21495626.000000	293719.250000	1389.029541	667.463074	11.347613	2.602162	0.686245	27.000000	-229791264.000000	0.408770
1173.000000	1307.000000	10.000000	48329.203125	1.000000	452.208649	10498348.000000	406400.343750	1172.897217	1306.728516	9.719636	1.620061	0.624934	27.000000	-111468680.000000	0.663860
1434.000000	1969.000000	9.000000	47995.656250	1.000000	8646.138672	14064121.000000	329723.968750	1433.266479	1969.168335	9.351328	2.077884	0.627263	27.000000	-148073760.000000	0.477881
1999.000000	955.000000	9.000000	45291.648438	1.000000	1615.249023	8516278.000000	444677.968750	1998.744019	954.825012	9.065627	1.444286	0.582945	27.000000	-89459016.000000	0.818944
542.000000	1726.000000	10.000000	44999.082031	1.000000	1471.057007	8597641.000000	460593.812500	542.032593	1726.210327	9.766139	1.386883	0.616186	27.000000	-90564528.000000	0.828234
1390.000000	658.000000	10.000000	44784.656250	1.000000	23.007841	15593668.000000	257363.781250	1390.002563	657.964905	9.978065	2.489921	0.620526	27.000000	-165459264.000000	0.416075
1002.000000	119.000000	10.000000	44775.281250	1.000000	2078.508545	15279776.000000	298058.656250	1001.351807	119.023201	9.616042	2.089451	0.745558	27.000000	-161420144.000000	0.257952
330.000000	1057.000000	10.000000	44565.953125	1.000000	2795.749756	8432721.000000	486098.062500	329.539154	1056.918335	10.047617	1.397836	0.563717	27.000000	-88443096.000000	0.808407
1274.000000	1725.000000	14.000000	43437.464844	1.000000	16827.517578	15114304.000000	247906.625000	1273.036377	1725.034790	14.089644	2.342480	0.705470	27.000000	-156884224.000000	0.590491
1184.000000	451.000000	10.000000	42566.269531	1.000000	668.630859	10887953.000000	341259.187500	1184.541992	450.499268	9.582690	1.760918	0.653302	27.000000	-114724568.000000	0.561223
449.000000	9.000000	20.000000	42347.027344	1.000000	0.000008	14434140.000000	268993.187500	450.034271	9.233621	19.545372	1.940713	0.904601	27.000000	-151066912.000000	0.376539
1805.000000	1059.000000	9.000000	42169.843750	1.000000	1891.513794	8409415.000000	490105.250000	1805.493286	1059.377319	9.319943	1.373060	0.577867	27.000000	-88766064.000000	0.769264
448.000000	1205.000000	10.000000	41444.234375	1.000000	1600.521973	6999118.000000	491957.187500	448.269287	1205.431396	10.010438	1.296499	0.537405	27.000000	-73713440.000000	0.836016
1288.000000	1039.000000	10.000000	41368.757812	1.000000	143.463425	9744008.000000	398371.968750	1288.000610	1039.202881	9.515483	1.615940	0.594742	27.000000	-103285600.000000	0.617342
1780.000000	481.000000	9.000000	40877.222656	1.000000	1840.938965	11873988.000000	296242.781250	1780.044067	481.368744	9.412975	1.915683	0.693476	27.000000	-123865608.000000	0.507925
1456.000000	503.000000	9.000000	40482.101562	1.000000	731.866699	8599090.000000	411894.437500	1455.493652	502.797852	9.362047	1.506431	0.584115	27.000000	-90525696.000000	0.710918
251.000000	402.000000	10.000000	40422.039062	1.000000	3349.193604	7170493.500000	499693.218750	250.863739	401.979248	9.924662	1.281057	0.555187	27.000000	-74130624.000000	0.835073
1170.000000	1282.000000	9.000000	39895.585938	1.000000	856.336853	8855473.000000	449033.593750	1169.770264	1282.143311	9.478708	1.479573	0.571992	27.000000	-93697760.000000	0.703256
702.000000	299.000000	10.000000	39388.593750	1.000000	2006.156250	7157564.000000	444796.593750	702.403564	299.025604	9.778886	1.321690	0.584891	27.000000	-74369584.000000	0.823796
346.000000	734.000000	10.000000	38557.929688	1.000000	1793.667969	6306455.000000	507402.531250	346.476715	733.922607	9.949161	1.227905	0.523400	27.000000	-65935720.000000	0.825589
1878.000000	1177.000000	9.000000	38249.156250	1.000000	1495.039185	6348145.000000	486424.968750	1878.106201	1176.849609	9.162875	1.248325	0.531748	27.000000	-66429580.000000	0.858959
128.000000	1082.000000	10.000000	37986.601562	1.000000	2386.503662	6477509.500000	486335.156250	127.949890	1081.759277	10.044921	1.250632	0.540684	27.000000	-67152008.000000	0.845705
1175.000000	792.000000	9.000000	37477.972656	1.000000	1313.834473	7490379.000000	471271.656250	1174.751709	791.723877	9.418346	1.381630	0.528663	27.000000	-78627096.000000	0.785533
672.000000	1226.000000	10.000000	36995.023438	1.000000	1268.412109	6117791.500000	466015.125000	672.286194	1225.563965	9.874804	1.250085	0.533391	27.000000	-64074772.000000	0.830589
1235.000000	1688.000000	12.000000	36403.152344	1.000000	727.451660	7113313.000000	400626.218750	1235.003784	1687.519287	11.589397	1.310877	0.656053	27.000000	-74134952.000000	0.839226
1498.000000	1309.000000	9.000000	36291.035156	1.000000	532.945923	7023330.000000	476855.656250	1497.574219	1308.839478	9.447507	1.316916	0.539225	27.000000	-74255344.000000	0.786999
1875.000000	1201.000000	9.000000	35808.808594	1.000000	1190.317261	7081140.500000	475171.468750	1874.759888	1201.442749	9.426471	1.273026	0.583859	27.000000	-74355128.000000	0.780318
1585.000000	1161.000000	9.000000	35720.671875	1.000000	938.000854	6539592.500000	431502.000000	1584.683228	1161.026001	9.337223	1.299364	0.569950	27.000000	-68184504.000000	0.864332
1434.000000	1152.000000	9.000000	34833.437500	1.000000	628.793640	6453559.000000	480252.968750	1433.942383	1152.356323	9.426001	1.250302	0.545795	27.000000	-67950728.000000	0.827828
405.000000	976.000000	10.000000	34785.625000	1.000000	1867.606201	5711712.500000	469512.218750	404.967377	975.569702	9.957622	1.221263	0.517882	27.000000	-59139904.000000	0.830953
639.000000	1538.000000	11.000000	34777.550781	1.000000	6275.980957	13784851.000000	203798.328125	638.389221	1538.380493	10.724987	2.086158	0.986818	27.000000	-141097216.000000	0.423961
523.000000	1386.000000	10.000000	34409.335938	1.000000	1330.118530	5853425.000000	444326.437500	522.888977	1385.796997	9.763235	1.235468	0.547993	27.000000	-60600308.000000	0.879768
876.000000	2007.000000	10.000000	34346.187500	1.000000	708.705872	6501315.000000	466005.812500	876.420715	2007.224731	9.538832	1.219583	0.595549	27.000000	-68374104.000000	0.797329
1270.000000	1721.000000	15.000000	34282.445312	1.000000	12415.898438	15314307.000000	200831.328125	1269.895630	1721.803955	14.459007	2.248308	0.957821	27.000000	-157675504.000000	0.505657
154.000000	1117.000000	10.000000	34157.289062	1.000000	1893.211182	5533188.000000	459768.000000	154.120209	1116.781494	9.917412	1.201587	0.529245	27.000000	-57154460.000000	0.858319
897.000000	1946.000000	9.000000	33948.050781	1.000000	1964.195923	6881586.500000	460523.437500	897.392639	1946.175171	9.457141	1.250119	0.607105	27.000000	-71415848.000000	0.800530
1254.000000	1034.000000	10.000000	33787.554688	1.000000	165.562424	6119847.000000	494815.843750	1253.560669	1034.048828	9.579763	1.275153	0.482951	27.000000	-64833332.000000	0.803818
667.000000	1373.000000	10.000000	33757.125000	1.000000	733.129150	5936751.500000	449082.781250	666.636536	1372.781372	9.663276	1.243749	0.542609	27.000000	-62110188.000000	0.848814
631.000000	960.000000	10.000000	33677.953125	1.000000	0.000000	5275272.000000	162957.312500	631.000000	960.000000	10.000000	1.509405	0.902173	27.000000	-53429560.000000	0.862585
681.000000	1243.000000	10.000000	33299.250000	1.000000	927.720093	6114517.000000	388441.812500	681.226318	1243.469116	9.705104	1.370448	0.532159	27.000000	-63382800.000000	0.811656
851.000000	78.000000	10.000000	33192.644531	1.000000	2206.424072	5628239.500000	420377.750000	851.035278	78.331596	9.856729	1.236034	0.556419	27.000000	-57496860.000000	0.832590
466.000000	1654.000000	10.000000	33044.046875	1.000000	1786.083862	5569118.500000	434733.531250	465.653381	1653.781738	9.899430	1.232482	0.535467	27.000000	-57349788.000000	0.828232
825.000000	1446.000000	10.000000	32896.250000	1.000000	330.856384	6028414.500000	454826.093750	824.690674	1446.474487	9.596104	1.248444	0.539945	27.000000	-63464356.000000	0.807667
111.000000	738.000000	10.000000	32250.753906	1.000000	2614.054688	5473888.000000	443665.656250	111.481697	737.801575	9.984941	1.204808	0.539678	27.000000	-55837372.000000	0.816586
555.000000	760.000000	10.000000	32237.208984	1.000000	1362.506836	5219470.000000	409179.062500	555.278870	760.079285	9.922522	1.247956	0.520049	27.000000	-53625424.000000	0.850850
386.000000	693.000000	10.000000	31550.435547	1.000000	1851.486572	5284666.500000	402339.625000	386.116730	693.152100	10.067313	1.257773	0.527169	27.000000	-53789536.000000	0.850415
1094.000000	626.000000	10.000000	31201.082031	1.000000	1138.974121	5318012.500000	481060.031250	1093.576660	625.680786	9.667957	1.202613	0.485320	27.000000	-55335580.000000	0.832148
762.000000	1848.000000	10.000000	31094.910156	1.000000	1060.467163	5696029.000000	329678.375000	762.197449	1847.635254	9.735755	1.312418	0.636894	27.000000	-57971124.000000	0.883446
348.000000	1036.000000	10.000000	31052.468750	1.000000	1597.255615	5270356.000000	388562.937500	347.949066	1036.527588	9.996426	1.277883	0.527383	27.000000	-53809568.000000	0.818127
1377.000000	1486.000000	17.000000	31033.671875	1.000000	1902.986328	5204859.500000	465687.281250	1377.312866	1485.822144	16.823557	1.084174	0.603736	27.000000	-53513164.000000	0.870768
21.000000	1081.000000	10.000000	31019.218750	1.000000	2166.441162	5269159.500000	408114.187500	21.205656	1080.971313	10.078101	1.245186	0.528715	27.000000	-53509476.000000	0.833599
974.000000	949.000000	10.000000	30923.617188	1.000000	0.000000	5870060.000000	181330.781250	974.000000	949.000000	10.000000	1.509405	0.902173	27.000000	-59128484.000000	0.792855
1106.000000	1581.000000	10.000000	30743.781250	1.000000	304.684937	6071960.500000	406848.875000	1106.255981	1581.360107	9.506222	1.294505	0.565481	27.000000	-63396472.000000	0.774396
633.000000	536.000000	10.000000	30583.123047	1.000000	1987.825317	5320750.000000	412785.406250	632.557068	535.858887	9.820653	1.234242	0.537252	27.000000	-54101380.000000	0.826780
268.000000	1314.000000	10.000000	30548.562500	1.000000	1726.439941	5056092.500000	403164.812500	267.715668	1314.084839	9.956120	1.234965	0.522100	27.000000	-51675260.000000	0.835235
1004.000000	1764.000000	10.000000	30542.378906	1.000000	849.111572	5316003.500000	441225.593750	1004.286377	1764.185913	9.641381	1.226158	0.508817	27.000000	-55195144.000000	0.845932
1446.000000	1825.000000	9.000000	30534.261719	1.000000	1392.603149	5733662.000000	434624.218750	1445.976440	1825.364868	9.394542	1.197002	0.584600	27.000000	-59193120.000000	0.827574
1081.000000	507.000000	10.000000	30298.232422	1.000000	1007.711304	5383285.500000	388027.375000	1081.308350	507.092133	9.672042	1.235061	0.577482	27.000000	-55283356.000000	0.852565
1153.000000	1121.000000	9.000000	30270.902344	1.000000	259.787567	5973065.500000	397938.531250	1153.084106	1120.691528	9.479358	1.349927	0.522987	27.000000	-62247128.000000	0.783368
88.000000	1497.000000	10.000000	29951.582031	1.000000	2020.925903	5328580.500000	349695.093750	88.055267	1497.497192	10.008530	1.345681	0.534279	27.000000	-53927516.000000	0.814891
1558.000000	1083.000000	10.000000	29876.039062	1.000000	210.815155	5815478.000000	386931.406250	1557.676880	1082.760986	9.526425	1.302907	0.562154	27.000000	-60512084.000000	0.777264
1487.000000	1469.000000	24.000000	29729.185547	1.000000	677.886169	8749600.000000	254430.890625	1486.261475	1469.421143	23.821707	1.324845	1.243994	27.000000	-89055312.000000	0.776184
997.000000	1384.000000	9.000000	29716.054688	1.000000	212.590652	5950779.000000	406428.281250	996.517517	1384.479736	9.479157	1.290801	0.557958	27.000000	-62251196.000000	0.740384
642.000000	943.000000	10.000000	29397.531250	1.000000	0.000000	4970327.500000	153537.343750	642.000000	943.000000	10.000000	1.509405	0.902173	27.000000	-49665632.000000	0.853942
1776.000000	415.000000	9.000000	29345.767578	1.000000	1874.895874	5591397.000000	474364.218750	1776.224365	414.697601	9.446299	1.152404	0.563546	27.000000	-57625224.000000	0.799750
1864.000000	2015.000000	9.000000	29279.136719	1.000000	1123.877197	4924971.500000	363642.062500	1863.498291	2015.135010	9.122943	1.252539	0.548122	27.000000	-50275024.000000	0.842805
835.000000	766.000000	10.000000	29114.757812	1.000000	0.000000	4988427.000000	154096.453125	835.000000	766.000000	10.000000	1.509405	0.902173	27.000000	-49861036.000000	0.853243
318.000000	1984.000000	10.000000	28926.632812	1.000000	2032.929565	4773473.000000	411776.718750	317.886230	1984.067017	9.934155	1.141382	0.564990	27.000000	-48326896.000000	0.861822
885.000000	807.000000	10.000000	28884.902344	1.000000	0.000000	4861946.000000	150189.343750	885.000000	807.000000	10.000000	1.509405	0.902173	27.000000	-48650204.000000	0.869316
1246.000000	1859.000000	10.000000	28657.511719	1.000000	1518.728882	5026297.500000	344258.968750	1245.910522	1859.406982	10.075894	1.278191	0.567416	27.000000	-50820944.000000	0.847033
